id,user_id,client_id,communication_failed,status_text,store_id,store_order_id,service_method,business_date,advance_order_time,net_amount,tax_amount,tax1_amount,tax2_amount,payment_amount,message,order_text,order_progress,can_place_order,delivery_instructions,payment_type,credit_card_approval_number,fiscal_number,fiscal_type,company_name,discount,discount_auth_id,completed,created_at,updated_at,message_mask,reason_id,complete_on,placed_at,exonerated,started_on,exoneration_authorizer,creditcard_number,fiscal_company_name
2531,1,8,false,,24,2012-10-18#55,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CashPayment,,,,,0.0,,true,2012-10-20 12:05:32 -0400,2012-10-20 12:06:24 -0400,1,,2012-10-20 12:06:31 -0400,,true,2012-10-20 12:06:02 -0400,2,,
2517,1,21,false,,24,2012-10-18#38,delivery,,,317.46,82.54,31.75,50.79,400.0,,,,true,,,,,,,,,true,2012-10-18 14:10:10 -0400,2012-10-18 14:11:32 -0400,1,,2012-10-18 14:12:22 -0400,,,2012-10-18 14:11:25 -0400,,,
2474,1,29,false,,16,2012-07-03#118930,dinein,,,634.92,165.08,63.49,101.59,800.0,,,,,,,,,,,,,true,2012-10-06 20:28:35 -0400,2012-10-06 20:32:05 -0400,1,,2012-10-06 20:46:49 -0400,,,2012-10-06 20:31:59 -0400,,,
2481,1,8,false,,24,2012-10-10#6,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:15:35 -0400,2012-10-10 19:16:44 -0400,1,,2012-10-10 19:17:02 -0400,,,2012-10-10 19:16:39 -0400,,,
2504,1,8,false,,24,2012-10-10#19,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 20:15:26 -0400,2012-10-17 20:17:03 -0400,1,,2012-10-17 20:17:26 -0400,,,2012-10-17 20:16:57 -0400,,,
2520,1,21,false,,24,2012-10-18#41,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 14:15:35 -0400,2012-10-18 14:17:21 -0400,1,,2012-10-18 14:18:01 -0400,,,2012-10-18 14:17:14 -0400,,,
2470,1,1,false,,16,2012-07-03#118926,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 19:54:59 -0400,2012-10-06 19:59:10 -0400,1,,2012-10-06 19:59:28 -0400,,,2012-10-06 19:59:03 -0400,,,
2488,1,8,false,,,,,,,,,,,,,,,true,,,,,,,,,false,2012-10-10 19:40:48 -0400,2012-10-12 20:42:25 -0400,1,1,,,,2012-10-12 20:42:25 -0400,,,
2475,1,21,false,,16,2012-07-03#118931,dinein,,,1423.81,370.19,142.38,227.81,1794.0,,,,,,,,,,,,,true,2012-10-06 20:46:49 -0400,2012-10-06 20:49:08 -0400,1,,2012-10-06 20:52:41 -0400,,,2012-10-06 20:48:58 -0400,,,
2500,1,8,false,,24,2012-10-10#15,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 19:26:47 -0400,2012-10-17 19:39:02 -0400,1,,2012-10-17 19:41:36 -0400,,,2012-10-17 19:38:56 -0400,,,
